alltime_rank,song_title,artist,total_streams_billions,primary_genre,bpm,release_year,artist_country
88,Attention,Charlie Puth,1.44,Pop,107,2017,USA
89,In The Stars,Benson Boone,1.68,Pop,80,2023,USA
90,Kiss Me More,Doja Cat ft. SZA,2.23,Pop/R&B,115,2021,USA
91,End Of Beginning,Djo,1.6,Indie Rock,139,2022,USA
92,Ribs,Lorde,1.54,Indie Pop,104,2013,New Zealand
93,Lemon Tree,Fools Garden,1.46,Pop Rock,139,1996,Germany
94,Bliss,Muse,1.62,Alt Rock,154,2001,UK
95,Stumblin' In,Cyril & Violet Skies,1.58,Pop,90,2023,Netherlands
96,Electricity,Silk City & Dua Lipa,1.92,EDM/Pop,143,2018,UK
97,Blinding Lights (Remix),The Weeknd & Rosalía,1.44,Synth-Pop,171,2020,Canada/Spain
98,Falling For You,Peachy feat. mxmtoon,1.56,Indie Pop,150,2018,USA
99,Laugh Now Cry Later,Drake ft. Lil Durk,3.05,Hip-Hop,142,2020,Canada
100,Shake It Off,Taylor Swift,1.6,Pop,160,2014,USA
